zip,business_name,address,city,phone,price,cuisine,state,pageUrl,item_price/_source,item_price,item_price2/_source,item_name,category,item_price/_currency,item_name2,item_price2/_currency,item_price2
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$4.99; $5.49","4.99; 5.49","$4.99","Boiled Yam; Yam Porridge","Yam","USD; USD","Fried Yam","USD","4.99"
,,,,,,,,"http://www.seamless.com/food-delivery/iyanze-bolat-west-african-flair-chicago.16563.r","$1.49; $1.49; $1.99; $1.99","1.49; 1.49; 1.99; 1.99","$3.59; $1.99; $1.99","Dodo; Beans; Black Sauce; Pounded Yam","Sides","USD; USD; USD; USD","MoiMoi; Red Sauce; Cassava","USD; USD; USD","3.59; 1.99; 1.99"
"19143","Kings and Queens African Cuisine (Woodland Ave)","4830 Woodland Avenue (Woodland Ave & 49th St)","Philadelphia","(267) 388-2887","$$$","African","PA","http://www.seamless.com/food-delivery/kings-and-queens-african-cuisine-woodland-ave-philadelphia.39690.r",,,,,,,,,
"10019","Braai","329 W 51st St. (51st St. between 8th Ave. & 9th Ave.)","New York","(212) 315-3315","$$$","African","NY","http://www.seamless.com/food-delivery/braai-new-york-city.11573.r",,,,,,,,,
,,,,,,,,"http://www.seamless.com/food-delivery/braai-new-york-city.11573.r","$9.00; $9.00; $9.00; $9.00; $9.00; $9.00; $9.00; $9.00; $9.00; $9.00","9; 9; 9; 9; 9; 9; 9; 9; 9; 9","$9.00; $9.00; $9.00; $9.00; $9.00; $9.00; $9.00; $9.00; $9.00","Biltong Bruschetta; Curried Vegetable Samoosa`s; Fried African Calamari; Grilled Lamb Chops; Portobello Mushroom & Chakalaka Goat Cheese; Lemon & Herb Chicken Sosatie - Skewers; Frikadelles` in Soweto sauce.; Lamb Shank Empanadas; Crab Cakes & Sautéed Mushrooms; Pan-Seared Brie Cheese & Wildflower Honey","South African Tapas","USD; USD; USD; USD; USD; USD; USD; USD; USD; USD","Deviled Chicken Livers; Ostrich Sliders; Boerewors & Pap; Baked Ricotta & Stewed Pinotage Grapes; Grilled Eggplant, Goat Cheese & Tomato; Peri Peri Chicken Wings; Grilled South African Octopus; Truffle Man `N Cheese & Shaved Droewors; Venison Carpaccio","USD; USD; USD; USD; USD; USD; USD; USD; USD","9; 9; 9; 9; 9; 9; 9; 9; 9"
,,,,,,,,"http://www.seamless.com/food-delivery/braai-new-york-city.11573.r","$10.00; $14.00; $12.00; $14.00","10; 14; 12; 14","$12.00; $10.00; $10.00","Peri Peri Caesar Salad; Fresh Avocado & Rock Lobster Salad; Musclun Salad; Chilled Seafood Salad","Salads","USD; USD; USD; USD","Goat Cheese & Organic Mango Salad; Feta & Toasted Bread Salad; Red Beet & Vidalia Onion Salad","USD; USD; USD","12; 10; 10"
,,,,,,,,"http://www.seamless.com/food-delivery/braai-new-york-city.11573.r","$18.00; $16.00; $23.00; $16.00; $15.00; $26.00; $24.00; $29.00","18; 16; 23; 16; 15; 26; 24; 29","$14.00; $17.00; $26.00; $25.00; $19.00; $22.00; $23.00","Ribbetjies Pork Ribs; Fish Parcel; Mozambican Prawns Peri-Peri; Curried Salmon & Malay Roti; Vegetable Biryani; Fish Parcel; Rooibos Red Snapper; 1/2 Lb. Lobster & Seafood Pothe","Entrées","USD; USD; USD; USD; USD; USD; USD; USD","Chicken Bobotie; Lamb Bunny Chow; Horns & Hoofs; African Road Runner; Braised Oxtail; Balsamic Barbeque Chicken; Venison Stew","USD; USD; USD; USD; USD; USD; USD","14; 17; 26; 25; 19; 22; 23"
,,,,,,,,"http://www.seamless.com/food-delivery/braai-new-york-city.11573.r","$5.00; $5.00; $5.00; $5.00; $5.00; $5.00","5; 5; 5; 5; 5; 5","$5.00; $5.00; $5.00; $5.00; $5.00; $5.00","Chakalaka; Mashed Potatoes; Garlic String Beans; Roti; Truffle Coconut Pap; Broccoli Rabe","Sides","USD; USD; USD; USD; USD; USD","Vegetable Cous Cous; Roasted Potato; Sautéed Spinach; Basmati Saffron Rice; Slap Chips in Vinegar; Roasted Mielie Corn","USD; USD; USD; USD; USD; USD","5; 5; 5; 5; 5; 5"
,,,,,,,,"http://www.seamless.com/food-delivery/braai-new-york-city.11573.r","$8.00; $8.00; $8.00; $8.00","8; 8; 8; 8","$8.00; $8.00; $8.00; $8.00","Pinotage Poached Pear; Malva Pudding; Coconut Sorbet in Shell; Warm Chocolate Mud Hut","Desserts","USD; USD; USD; USD","Melktert; Koeksisters; New York Cheesecake; Durban Mango Mousse","USD; USD; USD; USD","8; 8; 8; 8"
,,,,,,,,"http://www.seamless.com/food-delivery/braai-new-york-city.11573.r","$2.00","2",,"Soda","Beverages","USD",,,
"10003","Nomad Restaurant","78 Second Ave (2nd Ave. between 4th St. & 5th St.)","New York","(212) 253-5410","$$","Mediterranean","NY","http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r",,,,,,,,,
,,,,,,,,"http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r","$5.00; $12.00; $7.00; $5.00","5; 12; 7; 5","$5.00; $6.00; $8.00","Traditional Harrira Soup; Moroccan Mussels; Mediterranean Salad; Moorish Chicken Skewers","Appetizers","USD; USD; USD; USD","Soup of the Day; Garden Salad; Nomad Trio Dip","USD; USD; USD","5; 6; 8"
,,,,,,,,"http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r","$14.00; $10.00; $10.00; $10.00; $10.00; $7.00","14; 10; 10; 10; 10; 7","$12.00; $10.00; $13.00; $8.00; $9.00","Grilled Atlantic Salmon; 7 Vegetable Couscous; Merguez Couscous; Chicken Kebob; Nomad Lamb Burger; Zaatar Spiced Chicken Sandwich","Entrées and Sandwiches","USD; USD; USD; USD; USD; USD","Trout Almondine; Chicken Couscous; Chicken Pastilla; Falafel Burger; Merguez Sandwich","USD; USD; USD; USD; USD","12; 10; 13; 8; 9"
,,,,,,,,"http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r","$12.00; $9.00","12; 9","$12.00","Nomad Pizza; Tuscan Flatbread","From The Oven","USD; USD","Margarita Pizza","USD","12"
,,,,,,,,"http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r","$3.00; $3.00; $3.00","3; 3; 3","$3.00; $3.00; $3.00","Couscous; Hummus; French Fries","Side Dishes","USD; USD; USD","Fava Bean Dip; Zaalouk; Cucumber Yogurt Dip","USD; USD; USD","3; 3; 3"
,,,,,,,,"http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r","$6.00","6","$6.00","North African Cookie Plate","Desserts","USD","Date Pudding","USD","6"
,,,,,,,,"http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r","$2.00; $3.00","2; 3","$3.00","Soda; Moroccan Mint Tea","Drinks","USD; USD","Dry Soda","USD","3"
"11208","Divine Flavored (Fountain Ave)","609 Fountain Ave (Fountain Ave between Loring Ave & Stanley Ave)","Brooklyn","(718) 451-6330","$$","African","NY","http://www.seamless.com/food-delivery/divine-flavored-fountain-ave-brooklyn.37576.r",,,,,,,,,
"11419","Atlantic Diner","111-16 Atlantic Avenue (Atlantic Ave. between 111th St. & 112th St.)","South Richmond Hill","(718) 849-6673","$$","Sandwiches and Wraps","NY","http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r",,,,,,,,,
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$1.65; $1.75; $1.75; $2.50; $4.25; $4.21","1.65; 1.75; 1.75; 2.5; 4.25; 4.21","$1.65; $1.75; $1.95; $3.75; $3.75","Coffee; Brewed Decaffeinated Coffee; Herbal Tea; Espresso; Flavored Cappuccino; Flavored Coffee Latte","Hot Beverages","USD; USD; USD; USD; USD; USD","Tea; Decaffeinated Tea; Hot Chocolate with Whipped Cream; Cappuccino; Coffee Latte","USD; USD; USD; USD; USD","1.65; 1.75; 1.95; 3.75; 3.75"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$2.25; $4.25; $2.25; $2.75; $4.50; $1.50","2.25; 4.25; 2.25; 2.75; 4.5; 1.5","$4.25; $2.25; $2.50; $2.75; $2.50","Fountain Soda; Iced Cappuccino; Iced Coffee; Chocolate Milk; Ice Cream Soda; Bottled Water","Cold Beverages","USD; USD; USD; USD; USD; USD","Milkshake; Iced Tea; Whole Milk; Egg Cream; Snapple","USD; USD; USD; USD; USD","4.25; 2.25; 2.5; 2.75; 2.5"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$1.95; $4.25; $1.00","1.95; 4.25; 1","$4.25; $4.25; $3.25","Juice; Fresh Strawberries; Banana","Fruits and Juices","USD; USD; USD","Fresh Fruit Salad; Fresh Blueberries; Half Grapefruit","USD; USD; USD","4.25; 4.25; 3.25"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$3.25; $4.50","3.25; 4.5","$5.95; $7.50","1 Egg Any Style; 2 Eggs Any Style","Eggs","USD; USD","1 Egg Any Style with Meat; 2 Eggs Any Style with Meat","USD; USD","5.95; 7.5"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$9.75; $9.75; $10.50; $10.50; $9.95; $10.50; $10.50; $10.50; $8.25; $8.25; $8.45; $8.45; $7.95; $7.95; $8.45; $9.95; $9.95","9.75; 9.75; 10.5; 10.5; 9.95; 10.5; 10.5; 10.5; 8.25; 8.25; 8.45; 8.45; 7.95; 7.95; 8.45; 9.95; 9.95","$9.75; $10.50; $9.95; $11.25; $10.50; $10.50; $5.25; $8.25; $7.95; $8.45; $8.95; $7.95; $8.45; $9.95; $9.95; $9.95","Ham and Cheese Omelette; Sausage and Cheese Omelette; Greek Omelette; Vegetable Omelette; Italian Omelette; Fiesta Omelette; Ranchero Omelette; Chili Jack Cheese Omelette; Bacon Omelette; Sausage Omelette; Mushroom Omelette; Spanish Omelette; Pepper Omelette; Tomato Omelette; Broccoli Omelette; Corned Beef Omelette; Turkey Sausage Omelette","3 Egg Combination Omelettes","USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD","Bacon and Cheese Omelette; Spinach and Feta Omelette; Mushroom and Cheese Omelette; Leo Omelette; Atlantic Omelette; Mexican Omelette; Philly Omelette; Plain Omelette; Ham Omelette; Cheese Omelette; Western Omelette; Feta Cheese Omelette; Onion Omelette; Spinach Omelette; Pastrami Omelette; Turkey Bacon Omelette; Cheese Lover's Omelette","USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD","9.75; 10.5; 9.95; 11.25; 10.5; 10.5; 5.25; 8.25; 7.95; 8.45; 8.95; 7.95; 8.45; 9.95; 9.95; 9.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$2.75; $5.25; $5.25; $5.25","2.75; 5.25; 5.25; 5.25","$4.25; $5.25; $5.25","1 Egg Sandwich; 1 Egg Sandwich with Turkey Bacon; Western Omelette Sandwich; Omelette Wrap","Egg Sandwiches","USD; USD; USD; USD","1 Egg Sandwich with Breakfast Meat; 1 Egg Sandwich with Turkey Sausage; Bacon Omelette Sandwich","USD; USD; USD","4.25; 5.25; 5.25"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$2.95; $2.75","2.95; 2.75","$2.75; $4.25","Dry Cereal; Hot Grits","Cereals","USD; USD","Hot Oatmeal; Homemade Baked Oatmeal","USD; USD","2.75; 4.25"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$1.90; $2.75; $2.10","1.9; 2.75; 2.1","$1.90; $2.10; $2.95","Golden Brown Toast; Cinnamon Toast; Muffin","Odds and Ends","USD; USD; USD","Hard Roll; Jumbo English Muffin; Danish","USD; USD; USD","1.9; 2.1; 2.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$5.95; $7.20; $7.95; $8.95; $6.75; $13.50","5.95; 7.2; 7.95; 8.95; 6.75; 13.5","$8.95; $8.45; $8.95; $6.95; $4.25; $14.95","Plain Golden Brown Griddle Cakes; Golden Brown Griddle Cakes with 1 Egg; Golden Brown Griddle Cakes with Chocolate Chips; Golden Brown Griddle Cakes with Strawberry Preserves; Silver Dollar Pancakes; Griddle Cakes Deluxe","Pancakes","USD; USD; USD; USD; USD; USD","Golden Brown Griddle Cakes with Meat; Golden Brown Griddle Cakes with 2 Eggs; Golden Brown Griddle Cakes with Blueberry Preserves; Banana Pancakes; Short Stack of Pancakes; Lumberjack","USD; USD; USD; USD; USD; USD","8.95; 8.45; 8.95; 6.95; 4.25; 14.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$6.75; $8.00; $9.45; $11.40; $9.95; $15.45","6.75; 8; 9.45; 11.4; 9.95; 15.45","$9.75; $9.25; $9.45; $8.75; $14.00; $12.95","Golden Brown Belgian Waffle; Golden Brown Belgian Waffle with 1 Egg; Golden Brown Belgian Waffle with Strawberry Preserves; Golden Brown Belgian Waffle with Fresh Fruit Salad; Golden Brown Belgian Waffle with 2 Scoops of Ice Cream; Super Deluxe Belgian Waffle","Belgian Waffles","USD; USD; USD; USD; USD; USD","Golden Brown Belgian Waffle with Meat; Golden Brown Belgian Waffle with 2 Eggs; Golden Brown Belgian Waffle with Blueberry Preserves; Golden Brown Belgian Waffle with 1 Scoop of Ice Cream; Golden Brown Belgian Waffle Deluxe; Belgian Waffle Sundae","USD; USD; USD; USD; USD; USD","9.75; 9.25; 9.45; 8.75; 14; 12.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$5.95; $7.20; $8.45; $13.50","5.95; 7.2; 8.45; 13.5","$5.95; $7.20; $8.45; $14.95","Golden Brown Challah French Toast; Golden Brown Challah French Toast with 1 Egg; Golden Brown Challah French Toast with 2 Eggs; Golden Brown French Toast Deluxe","French Toast","USD; USD; USD; USD","Old Fashioned French Toast; Old Fashioned French Toast with 1 Egg; Old Fashioned French Toast with 2 Eggs; Super Deluxe French Toast","USD; USD; USD; USD","5.95; 7.2; 8.45; 14.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$2.10; $11.50; $15.95","2.1; 11.5; 15.95","$3.50; $13.50","Toasted Jumbo Bagel with Butter and Jelly; Toasted Jumbo Bagel with Lox; Bagel All the Way","Bagels and Lox","USD; USD; USD","Toasted Jumbo Bagel with Cream Cheese; Toasted Jumbo Bagel with Lox and Cream Cheese","USD; USD","3.5; 13.5"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$9.50; $9.25; $10.25; $9.95; $13.95; $8.95; $8.25; $7.95; $24.95","9.5; 9.25; 10.25; 9.95; 13.95; 8.95; 8.25; 7.95; 24.95","$9.50; $7.25; $9.95; $7.25; $11.95; $6.95; $13.95; $7.95","Chicken Fingers; Mozzarella Sticks; 3 Cheeseburger Sliders; Stuffed Clams; Finger Food Combo; Fried Zucchini Sticks; Quesadilla; Spinach and Artichoke Dip; Atlantic Dinner Appetizer Combo","Appetizers, Snacks and Munchies","USD; USD; USD; USD; USD; USD; USD; USD; USD","Buffalo Wings; Fried Potato Skins; Stuffed Mushrooms; Fried Clam Strips with Marinara Sauce; Fried Calamari; Disco Fries; Fresh Jumbo Shrimp Cocktail; Tortilla Chips and Salsa Dip","USD; USD; USD; USD; USD; USD; USD; USD","9.5; 7.25; 9.95; 7.25; 11.95; 6.95; 13.95; 7.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$2.75; $4.95","2.75; 4.95","$4.25","Soup of the Day; French Onion Soup","Soups","USD; USD","Matzo Ball Soup","USD","4.25"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$5.95; $6.50; $10.95; $10.95; $13.95; $13.95","5.95; 6.5; 10.95; 10.95; 13.95; 13.95","$5.95; $9.95; $10.95; $10.95; $13.95","Tossed Salad; Caesar Salad; Chef's Salad; Mesclun Portobello Salad; NY Cobb Salad; Club Salad","Salads","USD; USD; USD; USD; USD; USD","Garden Salad; Greek Salad; Spinach Salad; Avocado Salad; New Orleans Salad","USD; USD; USD; USD; USD","5.95; 9.95; 10.95; 10.95; 13.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$11.75; $11.75; $11.25; $10.95","11.75; 11.75; 11.25; 10.95","$11.75; $11.25; $11.25","Sliced Turkey, Bacon, Lettuce and Tomato Triple Decker; Roast Beef, American Cheese, Lettuce and Tomato Triple Decker; Tuna Fish Salad, Sliced Hard-Boiled Egg, Lettuce and Tomato Triple Decker; Egg Salad, Bacon, Lettuce and Tomato Triple Decker","Triple Decker Sandwiches","USD; USD; USD; USD","Baked Virginia Ham, Swiss Cheese, Lettuce and Tomato Triple Decker; Chicken Cutlet, Bacon, Lettuce and Tomato Triple Decker; Chicken Salad, Bacon, Lettuce and Tomato Triple Decker","USD; USD; USD","11.75; 11.25; 11.25"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$4.75; $5.75; $6.50; $7.00; $9.45; $9.45; $9.45; $7.95; $5.95; $6.45; $8.95; $7.25; $15.95; $14.95; $12.95; $11.75","4.75; 5.75; 6.5; 7; 9.45; 9.45; 9.45; 7.95; 5.95; 6.45; 8.95; 7.25; 15.95; 14.95; 12.95; 11.75","$5.25; $6.50; $7.00; $9.45; $9.45; $9.45; $9.45; $6.50; $6.75; $5.95; $7.50; $10.95; $15.95; $12.95; $10.95","Cheese Sandwich; Grilled Cheese and Tomato Sandwich; Grilled Cheese Sandwich with Ham; Grilled Cheese Sandwich with Ham and Tomato; Roast Beef Sandwich; Corned Beef Sandwich; Fresh Ham Sandwich; Meat Loaf Sandwich; Bacon, Lettuce and Tomato Sandwich; Chicken Salad Sandwich; Shrimp Salad Sandwich; Individual Sardine Sandwich; Mix or Match Deli Duo; Open Sliced London Broil; Monte Cristo; Philly Cheese Steak Deluxe","Tasty Sandwiches","USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD","Grilled Cheese Sandwich; Grilled Cheese Sandwich with Bacon; Grilled Cheese Sandwich with Bacon and Tomato; Sliced Turkey Sandwich; Pastrami Sandwich; Brisket of Beef Sandwich; Virginia Ham Sandwich; Beef Salami Sandwich; Tunafish Salad Sandwich; Chopped Egg Salad Sandwich; Individual Tuna Sandwich; Fried Fillet of Sole Sandwich; Hot Open Sandwich; Reuben Sandwich; Tuna Melt","USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD","5.25; 6.5; 7; 9.45; 9.45; 9.45; 9.45; 6.5; 6.75; 5.95; 7.5; 10.95; 15.95; 12.95; 10.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$7.50; $9.50; $8.50; $10.00","7.5; 9.5; 8.5; 10","$11.00; $13.00; $11.75; $13.45","Grilled Chicken Sandwich; Grilled Chicken Sandwich with Cheese; Grilled Chicken Oriental Sandwich; Grilled Chicken and Bacon Sandwich","Grilled Chicken Breast Sandwiches","USD; USD; USD; USD","Grilled Chicken Sandwich Deluxe; Grilled Chicken Sandwich with Cheese Deluxe; Grilled Chicken Oriental Sandwich Deluxe; Grilled Chicken and Bacon Sandwich Deluxe","USD; USD; USD; USD","11; 13; 11.75; 13.45"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$10.50; $10.50; $12.50; $13.95","10.5; 10.5; 12.5; 13.95","$11.95; $10.50; $13.50","Chicken Fingers in a Basket; Buffalo Wings in a Basket; Fried Chicken in a Basket; Fish and Chips in a Basket","More Stuff","USD; USD; USD; USD","Fried Calamari in a Basket; Fried Clam Strips in a Basket; Fried Shrimp in a Basket","USD; USD; USD","11.95; 10.5; 13.5"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$13.95; $7.25; $7.25","13.95; 7.25; 7.25","$13.95; $13.25; $13.25","Spinach Pie; Souvlaki; Gyro Sandwich","Greek Specialties","USD; USD; USD","Moussaka; Souvlaki Platter; Gyro Platter","USD; USD; USD","13.95; 13.25; 13.25"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$10.50; $11.50; $11.95","10.5; 11.5; 11.95","$11.50; $11.50; $11.50","California Salad; Diet Turkey Burger Platter; Diet Veggie Burger Platter","Trimline Features","USD; USD; USD","Atlantic Slim-Line; Diet Beef Burger Platter; Vegetable Platter","USD; USD; USD","11.5; 11.5; 11.5"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$5.55; $6.55; $8.50; $6.95; $7.25; $6.95; $8.95; $8.95; $8.95; $10.55; $12.55; $5.95; $6.95; $7.50; $7.95","5.55; 6.55; 8.5; 6.95; 7.25; 6.95; 8.95; 8.95; 8.95; 10.55; 12.55; 5.95; 6.95; 7.5; 7.95","$9.05; $10.05; $12.00; $10.45; $10.75; $10.45; $12.45; $12.45; $12.45; $14.05; $16.05; $9.45; $10.45; $11.00; $11.00","Jumbo Burger; Cheeseburger; Mushroom Cheeseburger; Pizza Burger; Greek Burger; Texas Burger; BBQ Burger; Alpine Burger; Chavo Burger; Twin Burger; Twin Cheeseburger; Chicken Burger; Turkey Burger; Veggie Burger; Bison Burger","Unbeatable Burgers","USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD","Jumbo Burger Deluxe; Cheeseburger Deluxe; Mushroom Cheeseburger Deluxe; Pizza Burger Deluxe; Greek Burger Deluxe; Texas Burger Deluxe; BBQ Burger Deluxe; Alpine Burger Deluxe; Chavo Burger Deluxe; Twin Burger Deluxe; Twin Cheeseburger Deluxe; Chicken Burger Deluxe; Turkey Burger Deluxe; Veggie Burger Deluxe; Bison Burger Deluxe","USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD; USD","9.05; 10.05; 12; 10.45; 10.75; 10.45; 12.45; 12.45; 12.45; 14.05; 16.05; 9.45; 10.45; 11; 11"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$10.95; $10.95; $13.95; $13.50","10.95; 10.95; 13.95; 13.5","$10.95; $11.95; $17.95; $12.95","Egg Salad Platter; Chicken Salad Platter; Shrimp Salad Platter; Individual Tuna Platter","Cold Salad Platters","USD; USD; USD; USD","Hard-Boiled Eggs Platter; Tuna Salad Platter; Shrimp Supreme Platter; Individual Sardine Platter","USD; USD; USD; USD","10.95; 11.95; 17.95; 12.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$10.95; $10.95; $10.95; $11.50; $10.95; $10.95","10.95; 10.95; 10.95; 11.5; 10.95; 10.95","$10.95; $10.95; $11.50; $11.50; $10.95; $10.95","Chicken Wrap; Greek Wrap; Texas Wrap; Turkey BLT Wrap; Tuna Fish Wrap; Shrimp Salad Wrap","Delicious Wraps","USD; USD; USD; USD; USD; USD","Chicken Caesar Wrap; Gyro Wrap; Philly Cheese Steak Wrap; Cuban Wrap; Chicken Salad Wrap; Veggie Wrap","USD; USD; USD; USD; USD; USD","10.95; 10.95; 11.5; 11.5; 10.95; 10.95"
,,,,,,,,"http://www.seamless.com/food-delivery/atlantic-diner-new-york-city.38118.r","$11.50; $11.50; $11.50; $11.50; $11.50","11.5; 11.5; 11.5; 11.5; 11.5","$10.95; $10.95; $11.50; $11.50","Cuban Panini; Chicken Parmigiana Panini; The Combo Panini; Eggplant Parmigiana Panini; Vegetarian Panini","Crunchy Paninis","USD; USD; USD; USD; USD","Tuna Melt Panini; Meatless Panini; The Italiano Panini; Chicken Club Panini","USD; USD; USD; USD","10.95; 10.95; 11.5; 11.5"
